Dataset,Model,MSE,R²,Spearman
Wu,Random Forest,20.189173436416716,-79.76900421727443,-0.2693127780061364
Wu,Neural Network,66.73242438609022,-265.97038804703527,-0.04435739873042247
Xue,Random Forest,25202501.588368025,-1.9602537905651118,0.0009444182455860821
Xue,Neural Network,25171926.845840827,-1.9566625201848944,0.20153220404097444
Zhang P43,Random Forest,4988.12527832064,-1.1923783208879288,-0.15143867066190786
Zhang P43,Neural Network,4590.865998801051,-1.0177751215706246,-0.14716383260474747
Zhang Pglvm,Random Forest,14395.98849934314,-1.5750869908913008,-0.173063604583624
Zhang Pglvm,Neural Network,13668.550005356949,-1.4449662004625732,-0.12487088160697501
