model,embedding_model,train_mse,train_rmse,train_mae,train_r2,train_spearman,train_spearman_pval,train_pearson,train_pearson_pval,test_mse,test_rmse,test_mae,test_r2,test_spearman,test_spearman_pval,test_pearson,test_pearson_pval
Random Forest,esm2-650M,0.2851730028323911,0.534015920017738,0.3977659264195303,0.9357910910371612,0.97168145857514,0.0,0.974694774507026,0.0,1.193037656845811,1.0922626318087656,0.8236046248037857,0.7494731176241225,0.8515318102768585,0.0,0.867529872517631,0.0
Random Forest,esm2-3B,0.2876653889338897,0.5363444685404053,0.4042597155329419,0.935229911014151,0.9720109644968068,0.0,0.9752711882594172,0.0,1.2710960534979576,1.127428957184424,0.8402374592514286,0.7330815757106643,0.8443854638049929,0.0,0.8587709571479268,0.0
Random Forest,ginkgo-AA0-650M,0.2699972468486081,0.5196125930427478,0.3896385691518746,0.939208029964503,0.9722069622223802,0.0,0.9755052426197768,0.0,1.176375836654414,1.0846086098931789,0.8023416537235541,0.7529719458826488,0.8535453232670765,0.0,0.8688376171964467,0.0
Random Forest,physicochemical,0.4530268317497299,0.6730726793963114,0.4807469595472125,0.8640087814388264,0.9201512673916342,5.946000558088228e-92,0.9380736189269712,1.0314075167638561e-103,0.8477752618080638,0.9207471215312399,0.6721014297830827,0.7374823535114716,0.804978677366029,3.987025543145332e-111,0.8654013979992634,1.8971994470941308e-146
