model,embedding_model,train_mse,train_rmse,train_mae,train_r2,train_spearman,train_spearman_pval,train_pearson,train_pearson_pval,val_mse,val_rmse,val_mae,val_r2,val_spearman,val_spearman_pval,val_pearson,val_pearson_pval,test_mse,test_rmse,test_mae,test_r2,test_spearman,test_spearman_pval,test_pearson,test_pearson_pval
Neural Network (Improved),esm2-650M,0.5432321560432192,0.737042845459624,0.5352004213835365,0.8757706232628863,0.9352988602397309,0.0,0.9397704189041436,0.0,1.2737613887234334,1.1286103795036768,0.8493756241944576,0.7294422568045097,0.8513690983484012,4.937335089296676e-175,0.8553427540371688,2.2285622628356717e-178,1.054620186682134,1.0269470223347132,0.7696338871804866,0.7785395071613505,0.8582894635737215,0.0,0.8839096685566599,0.0
Neural Network (Improved),esm2-3B,0.22045314310818317,0.469524379673924,0.3286907586890807,0.9495855385889778,0.9754015464461856,0.0,0.9761931408172233,0.0,1.2669136704579007,1.125572596707072,0.836911402686685,0.7308967703549776,0.8481339315152211,2.217132227456645e-172,0.8549295125438346,5.018602269062555e-178,1.1100855299298427,1.0536059652117782,0.7622908607330235,0.7668922976671473,0.858965786442439,0.0,0.8758627298968356,0.0
Neural Network (Improved),ginkgo-AA0-650M,0.26189369338798457,0.5117555015708034,0.3649923822293174,0.9401086810877565,0.9706446577915695,0.0,0.9716854665547789,0.0,1.1634616315048558,1.0786387863899831,0.8161132035547066,0.7528708625483037,0.8553979541827401,1.9991597140959454e-178,0.8681549236707373,6.892703349408572e-190,0.9846542575741639,0.9922974642586586,0.7209511972331626,0.7932317056777773,0.8702095653495432,0.0,0.8909247328532788,0.0
